Q_from,L_from,Q_to,L_to,source_sectors_total,source_sectors_sampled,target_cells_total,mean_intersect,min_intersect,max_intersect,mean_contained,min_contained,max_contained,mean_boundary,min_boundary,max_boundary,fraction_with_any_contained,fraction_exact_one_to_one,offset_from_ceil,ceil_D_log4_10
10,1,4,2,10,10,16,2.4,2,3,0.8,0,1,1.6,1,2,0.8,0.0,0,2
10,1,4,3,10,10,64,7.2,7,8,5.6,5,6,1.6,1,2,1.0,0.0,1,2
10,1,4,4,10,10,256,26.4,26,27,24.8,24,25,1.6,1,2,1.0,0.0,2,2
10,1,4,5,10,10,1024,103.2,103,104,101.6,101,102,1.6,1,2,1.0,0.0,3,2
10,1,4,6,10,10,4096,410.4,410,411,408.8,408,409,1.6,1,2,1.0,0.0,4,2
10,2,4,4,100,100,256,3.52,3,4,1.6,1,2,1.92,1,2,1.0,0.0,0,4
10,2,4,5,100,100,1024,11.2,11,12,9.28,9,10,1.92,1,2,1.0,0.0,1,4
10,2,4,6,100,100,4096,41.92,41,42,40.0,40,40,1.92,1,2,1.0,0.0,2,4
10,2,4,7,100,100,16384,164.8,164,165,162.88,162,163,1.92,1,2,1.0,0.0,3,4
10,2,4,8,100,100,65536,656.32,656,657,654.4,654,655,1.92,1,2,1.0,0.0,4,4
10,3,4,5,1000,1000,1024,2.016,2,3,0.032,0,1,1.984,1,2,0.032,0.0,0,5
10,3,4,6,1000,1000,4096,5.088,5,6,3.104,3,4,1.984,1,2,1.0,0.0,1,5
10,3,4,7,1000,1000,16384,17.376,17,18,15.392,15,16,1.984,1,2,1.0,0.0,2,5
10,3,4,8,1000,1000,65536,66.528,66,67,64.544,64,65,1.984,1,2,1.0,0.0,3,5
10,3,4,9,1000,1000,262144,263.136,263,264,261.152,261,262,1.984,1,2,1.0,0.0,4,5
10,4,4,7,10000,10000,16384,2.6368,2,3,0.64,0,1,1.9968,1,2,0.64,0.0,0,7
10,4,4,8,10000,10000,65536,7.552,7,8,5.5552,5,6,1.9968,1,2,1.0,0.0,1,7
10,4,4,9,10000,10000,262144,27.2128,27,28,25.216,25,26,1.9968,1,2,1.0,0.0,2,7
10,4,4,10,10000,10000,1048576,105.856,105,106,103.8592,103,104,1.9968,1,2,1.0,0.0,3,7
10,4,4,11,10000,10000,4194304,420.4288,420,421,418.432,418,419,1.9968,1,2,1.0,0.0,4,7
10,5,4,9,100000,10000,262144,3.632,3,4,1.6328,1,2,1.9992,1,2,1.0,0.0,0,9
10,5,4,10,100000,10000,1048576,11.4792,11,12,9.48,9,10,1.9992,1,2,1.0,0.0,1,9
10,5,4,11,100000,10000,4194304,42.9401,42,43,40.9407,40,41,1.9994,1,2,1.0,0.0,2,9
10,5,4,12,100000,10000,16777216,168.7677,168,169,166.7684,166,167,1.9993,1,2,1.0,0.0,3,9
10,5,4,13,100000,10000,67108864,672.0882,672,673,670.0887,670,671,1.9995,1,2,1.0,0.0,4,9
10,6,4,10,1000000,10000,1048576,2.0488,2,3,0.0489,0,1,1.9999,1,2,0.0489,0.0,0,10
10,6,4,11,1000000,10000,4194304,5.1982,5,6,3.1983,3,4,1.9999,1,2,1.0,0.0,1,10
10,6,4,12,1000000,10000,16777216,17.7816,17,18,15.7818,15,16,1.9998,1,2,1.0,0.0,2,10
10,6,4,13,1000000,10000,67108864,68.11,68,69,66.1102,66,67,1.9998,1,2,1.0,0.0,3,10
10,6,4,14,1000000,10000,268435456,269.4265,269,270,267.4266,267,268,1.9999,1,2,1.0,0.0,4,10
