B,Q,L,N_cells,mean_target_cells_per_source,min_target_cells_per_source,max_target_cells_per_source
4.0,4,1,4,4.0,4,4
10.0,10,1,10,10.0,10,10
12.566370614359172,4,1,4,4.0,4,4
4.0,4,2,16,4.0,4,4
10.0,10,2,100,10.7,10,12
12.566370614359172,4,2,16,13.5625,13,14
4.0,4,3,64,4.0,4,4
10.0,10,3,1000,10.789,10,12
12.566370614359172,4,3,64,13.5625,13,14
4.0,4,4,256,4.0,4,4
10.0,10,4,10000,10.7905,10,12
12.566370614359172,4,4,256,13.5625,13,14
4.0,4,5,1024,4.0,4,4
12.566370614359172,4,5,1024,13.5654296875,13,14
