model,D,parameter,tests,hit_rate_or_recall,coverage_or_width,lift_or_calibration
random_80pct_window,3,p=0.8,157,0.8726114649681529,1610.0,1.0907643312101911
random_80pct_window,4,p=0.8,161,0.8260869565217391,16095.0,1.0326086956521738
random_80pct_window,5,p=0.8,57,0.6666666666666666,160944.0,0.8333333333333333
empirical_gap_80pct_window,3,p=0.8,157,0.8980891719745223,1746.6942675159235,1.122611464968153
empirical_gap_80pct_window,4,p=0.8,160,0.8625,19002.925,1.078125
empirical_gap_80pct_window,5,p=0.8,47,0.723404255319149,295241.3617021277,0.9042553191489362
residue_K1221_top10pct,3,"K=1221, top=10%",157,0.10828025477707007,0.09991809991809991,1.083690090842644
residue_K1221_top10pct,4,"K=1221, top=10%",161,0.08074534161490683,0.09991809991809993,0.8081152632114855
residue_K1221_top10pct,5,"K=1221, top=10%",57,0.10526315789473684,0.09991809991809991,1.0534943917169974
