period_name,K,zero_prefix_length_at_least,resonant_count,resonant_rate,random_count,random_rate,expected_rate
base4_res_K109,109,1,2320,0.25286103542234334,2266,0.24697547683923707,0.25
base4_res_K109,109,2,609,0.06637602179836512,554,0.06038147138964578,0.0625
base4_res_K109,109,3,155,0.016893732970027248,149,0.016239782016348774,0.015625
base4_res_K109,109,4,36,0.0039237057220708445,30,0.0032697547683923707,0.00390625
base4_res_K109,109,5,5,0.0005449591280653951,9,0.0009809264305177111,0.0009765625
base4_res_K109,109,6,2,0.00021798365122615803,3,0.00032697547683923706,0.000244140625
base4_res_K635,635,1,396,0.25142857142857145,370,0.23492063492063492,0.25
base4_res_K635,635,2,85,0.05396825396825397,89,0.05650793650793651,0.0625
base4_res_K635,635,3,18,0.011428571428571429,24,0.015238095238095238,0.015625
base4_res_K635,635,4,7,0.0044444444444444444,5,0.0031746031746031746,0.00390625
base4_res_K635,635,5,3,0.0019047619047619048,0,0.0,0.0009765625
base4_res_K635,635,6,1,0.0006349206349206349,0,0.0,0.000244140625
base4_res_K3284,3284,1,75,0.2459016393442623,80,0.26229508196721313,0.25
base4_res_K3284,3284,2,15,0.04918032786885246,21,0.06885245901639345,0.0625
base4_res_K3284,3284,3,3,0.009836065573770493,8,0.02622950819672131,0.015625
base4_res_K3284,3284,4,0,0.0,0,0.0,0.00390625
base4_res_K3284,3284,5,0,0.0,0,0.0,0.0009765625
base4_res_K3284,3284,6,0,0.0,0,0.0,0.000244140625
base4_res_K15785,15785,1,12,0.1875,21,0.328125,0.25
base4_res_K15785,15785,2,2,0.03125,2,0.03125,0.0625
base4_res_K15785,15785,3,2,0.03125,2,0.03125,0.015625
base4_res_K15785,15785,4,0,0.0,1,0.015625,0.00390625
base4_res_K15785,15785,5,0,0.0,0,0.0,0.0009765625
base4_res_K15785,15785,6,0,0.0,0,0.0,0.000244140625
decimal_res_K1221,1221,1,197,0.24053724053724054,182,0.2222222222222222,0.25
decimal_res_K1221,1221,2,44,0.05372405372405373,39,0.047619047619047616,0.0625
decimal_res_K1221,1221,3,12,0.014652014652014652,12,0.014652014652014652,0.015625
decimal_res_K1221,1221,4,4,0.004884004884004884,2,0.002442002442002442,0.00390625
decimal_res_K1221,1221,5,1,0.001221001221001221,0,0.0,0.0009765625
decimal_res_K1221,1221,6,0,0.0,0,0.0,0.000244140625
