system,horizon_digits,prefix_length,anchor_prefix,occurrences_including_start,repeat_occurrences_excluding_start,expected_random_repeats_approx,contexts_available,unique_left_contexts,unique_relative_windows,first_repeat_M,first_repeat_position
decimal,1000000,2,14,9875,9874,10000.0,9874,9874,9874,102.0,103.0
decimal,1000000,3,141,1006,1005,1000.0,1005,1005,1005,294.0,295.0
decimal,1000000,4,1415,94,93,100.0,93,93,93,6954.0,6955.0
decimal,1000000,5,14159,16,15,10.0,15,15,15,6954.0,6955.0
decimal,1000000,6,141592,2,1,1.0,1,1,1,821581.0,821582.0
decimal,1000000,7,1415926,1,0,0.1,0,0,0,,
base4,1000000,2,02,62196,62195,62500.0,62190,62189,62190,13.0,14.0
base4,1000000,3,021,15469,15468,15625.0,15468,15468,15468,69.0,70.0
base4,1000000,4,0210,3888,3887,3906.25,3887,3887,3887,69.0,70.0
base4,1000000,5,02100,948,947,976.5625,947,947,947,391.0,392.0
base4,1000000,6,021003,221,220,244.140625,220,220,220,1746.0,1747.0
base4,1000000,7,0210033,51,50,61.03515625,50,50,50,22167.0,22168.0
base4,1000000,8,02100333,17,16,15.2587890625,16,16,16,22167.0,22168.0
base4,1000000,9,021003331,2,1,3.814697265625,1,1,1,297063.0,297064.0
base4,1000000,10,0210033312,2,1,0.95367431640625,1,1,1,297063.0,297064.0
base4,1000000,11,02100333122,1,0,0.2384185791015625,0,0,0,,
base4,1000000,12,021003331222,1,0,0.059604644775390625,0,0,0,,
