horizon_H_digits,tail_length_L,tail_start_M_zero_based,negative_context,tail,combined_left_plus_tail
10000,20,9980,58461012648369998922569596881592,05600101655256375678,5846101264836999892256959688159205600101655256375678
10000,50,9950,10927645793106579229552498872758,46101264836999892256959688159205600101655256375678,1092764579310657922955249887275846101264836999892256959688159205600101655256375678
10000,100,9900,53539459094407046912091409387001,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,535394590944070469120914093870012645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678
50000,20,49980,35065262340533943914211127181069,10522900246574236041,3506526234053394391421112718106910522900246574236041
50000,50,49950,71066559489445924628661996355635,06526234053394391421112718106910522900246574236041,7106655948944592462866199635563506526234053394391421112718106910522900246574236041
50000,100,49900,27626392344107146584895780241408,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,276263923441071465848957802414081584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041
100000,20,99980,57701507893377286580357127909137,67420805655493624646,5770150789337728658035712790913767420805655493624646
100000,50,99950,75304990191356468238043299706957,70150789337728658035712790913767420805655493624646,7530499019135646823804329970695770150789337728658035712790913767420805655493624646
100000,100,99900,17119687348468873818665675127929,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,171196873484688738186656751279298575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646
500000,20,499980,75495362232222197465961933252907,40424876025138195242,7549536223222219746596193325290740424876025138195242
500000,50,499950,43258283372112371376096959399375,49536223222219746596193325290740424876025138195242,4325828337211237137609695939937549536223222219746596193325290740424876025138195242
500000,100,499900,28268267484421213715468232751128,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,282682674844212137154682327511285341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242
1000000,20,999980,89567879613033116462839963464604,22090106105779458151,8956787961303311646283996346460422090106105779458151
1000000,50,999950,91944184371506965520875424505989,56787961303311646283996346460422090106105779458151,9194418437150696552087542450598956787961303311646283996346460422090106105779458151
1000000,100,999900,37471732470336976335792589151526,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,374717324703369763357925891515260315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151
2000000,20,1999980,32290717447358925650461663735632,36871065191457297909,3229071744735892565046166373563236871065191457297909
2000000,50,1999950,71066552592369719338228226749132,29071744735892565046166373563236871065191457297909,7106655259236971933822822674913229071744735892565046166373563236871065191457297909
2000000,100,1999900,75865593128739602791251059654044,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,758655931287396027912510596540449621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909
